ds,y
2012-12-01,422.7950439453125
2013-01-01,462.4555358886719
2013-02-01,477.6515197753906
2013-03-01,401.11737060546875
2013-04-01,261.39105224609375
2013-05-01,426.1116027832031
2013-06-01,634.4839477539062
2013-07-01,439.30035400390625
2013-08-01,561.4359130859375
2013-09-01,415.9847106933594
2013-10-01,584.555908203125
2013-11-01,501.21240234375
2013-12-01,424.3546447753906
2014-01-01,502.6309814453125
2014-02-01,290.99127197265625
2014-03-01,613.768310546875
2014-04-01,501.27447509765625
2014-05-01,539.3154907226562
2014-06-01,495.1729736328125
2014-07-01,470.4654846191406
2014-08-01,447.645263671875
2014-09-01,415.965087890625
2014-10-01,475.8531494140625
2014-11-01,529.2666015625
2014-12-01,431.41668701171875
2015-01-01,562.0149536132812
2015-02-01,507.367919921875
2015-03-01,413.17828369140625
2015-04-01,489.02191162109375
2015-05-01,452.68963623046875
2015-06-01,435.250244140625
2015-07-01,636.3572998046875
2015-08-01,443.13983154296875
2015-09-01,501.65625
2015-10-01,439.375732421875
2015-11-01,432.1318359375
2015-12-01,482.70367431640625
2016-01-01,537.258544921875
2016-02-01,345.4935607910156
2016-03-01,565.2776489257812
2016-04-01,521.813232421875
2016-05-01,607.6234130859375
2016-06-01,509.71563720703125
2016-07-01,408.19940185546875
2016-08-01,417.82623291015625
2016-09-01,427.6812744140625
2016-10-01,448.5318908691406
2016-11-01,513.26318359375
2016-12-01,591.7607421875
2017-01-01,567.239501953125
2017-02-01,388.072021484375
2017-03-01,463.2341003417969
2017-04-01,375.20025634765625
2017-05-01,471.2845764160156
2017-06-01,426.0694580078125
2017-07-01,495.225341796875
2017-08-01,544.1143798828125
2017-09-01,437.67266845703125
2017-10-01,551.312744140625
2017-11-01,492.7575988769531
2017-12-01,523.4353637695312
2018-01-01,527.0916748046875
2018-02-01,412.97686767578125
2018-03-01,450.382568359375
2018-04-01,505.1239013671875
2018-05-01,518.5184936523438
2018-06-01,531.75537109375
2018-07-01,625.9763793945312
2018-08-01,538.1654663085938
2018-09-01,333.84136962890625
2018-10-01,573.051025390625
2018-11-01,521.5089721679688
2018-12-01,494.51397705078125
2019-01-01,611.0252685546875
2019-02-01,369.97149658203125
2019-03-01,518.8534545898438
2019-04-01,499.75677490234375
2019-05-01,452.004638671875
2019-06-01,481.9092102050781
2019-07-01,575.7188720703125
2019-08-01,510.5915222167969
2019-09-01,439.52520751953125
2019-10-01,553.6151733398438
2019-11-01,446.8844299316406
2019-12-01,486.21868896484375
2020-01-01,577.915771484375
2020-02-01,360.32659912109375
2020-03-01,541.4945678710938
2020-04-01,571.41943359375
2020-05-01,447.6793212890625
2020-06-01,545.7260131835938
2020-07-01,525.213623046875
2020-08-01,474.0276794433594
2020-09-01,387.77459716796875
2020-10-01,474.63134765625
2020-11-01,422.9618835449219
2020-12-01,513.2645263671875
2021-01-01,571.805908203125
2021-02-01,357.5892333984375
