ds,y
2009-01-01,269.03155517578125
2009-02-01,269.2334289550781
2009-03-01,268.0168151855469
2009-04-01,269.7428283691406
2009-05-01,279.3426818847656
2009-06-01,242.35101318359375
2009-07-01,329.798095703125
2009-08-01,235.0662841796875
2009-09-01,240.5275115966797
2009-10-01,258.004638671875
2009-11-01,228.32318115234375
2009-12-01,289.876953125
2010-01-01,261.2771301269531
2010-02-01,237.6610565185547
2010-03-01,267.55096435546875
2010-04-01,242.65591430664062
2010-05-01,261.2580871582031
2010-06-01,264.0061340332031
2010-07-01,293.4229736328125
2010-08-01,236.4557647705078
2010-09-01,296.0669250488281
2010-10-01,224.7812957763672
2010-11-01,273.58984375
2010-12-01,301.4542541503906
2011-01-01,212.8428497314453
2011-02-01,233.97987365722656
2011-03-01,254.65286254882812
2011-04-01,244.60964965820312
2011-05-01,248.11297607421875
2011-06-01,236.4011688232422
2011-07-01,261.6341247558594
2011-08-01,252.8634033203125
2011-09-01,242.0392608642578
2011-10-01,250.59523010253906
2011-11-01,297.5302429199219
2011-12-01,241.24273681640625
2012-01-01,267.4512634277344
2012-02-01,232.38438415527344
2012-03-01,245.162353515625
2012-04-01,222.6132049560547
2012-05-01,225.96592712402344
2012-06-01,245.05178833007812
2012-07-01,255.45274353027344
2012-08-01,226.55136108398438
2012-09-01,130.2998809814453
2012-10-01,233.6940155029297
2012-11-01,238.39181518554688
2012-12-01,209.04603576660156
2013-01-01,240.1581268310547
2013-02-01,213.20675659179688
2013-03-01,206.1582794189453
2013-04-01,86.776123046875
2013-05-01,246.81103515625
2013-06-01,229.0607452392578
2013-07-01,228.69480895996094
2013-08-01,239.2633056640625
2013-09-01,224.03887939453125
2013-10-01,224.3194580078125
2013-11-01,236.15496826171875
2013-12-01,211.31600952148438
2014-01-01,168.3070831298828
2014-02-01,131.3347625732422
2014-03-01,271.38641357421875
2014-04-01,248.4116668701172
2014-05-01,235.42352294921875
2014-06-01,221.48060607910156
2014-07-01,198.662353515625
2014-08-01,193.47128295898438
2014-09-01,173.37594604492188
2014-10-01,231.2941131591797
2014-11-01,227.4230194091797
2014-12-01,199.63096618652344
2015-01-01,250.79635620117188
2015-02-01,216.31077575683594
2015-03-01,211.7551727294922
2015-04-01,196.6244354248047
2015-05-01,200.63267517089844
2015-06-01,188.533203125
2015-07-01,245.23167419433594
2015-08-01,201.52000427246094
2015-09-01,241.6617889404297
2015-10-01,211.10609436035156
2015-11-01,226.44314575195312
2015-12-01,227.417236328125
2016-01-01,194.86021423339844
2016-02-01,202.84027099609375
2016-03-01,282.2601013183594
2016-04-01,268.0513610839844
2016-05-01,257.6363525390625
2016-06-01,218.32211303710938
2016-07-01,176.54107666015625
2016-08-01,199.9525146484375
2016-09-01,204.52789306640625
2016-10-01,206.52931213378906
2016-11-01,214.1255340576172
2016-12-01,212.4973907470703
2017-01-01,197.9558868408203
2017-02-01,185.76226806640625
2017-03-01,182.1822052001953
2017-04-01,189.27395629882812
2017-05-01,197.48269653320312
2017-06-01,170.79446411132812
2017-07-01,188.90478515625
2017-08-01,234.82583618164062
2017-09-01,178.4978485107422
2017-10-01,218.78485107421875
2017-11-01,195.43124389648438
2017-12-01,206.23318481445312
2018-01-01,208.3522491455078
2018-02-01,163.47213745117188
2018-03-01,206.73931884765625
2018-04-01,215.99554443359375
2018-05-01,201.73941040039062
2018-06-01,223.9208984375
2018-07-01,197.17547607421875
2018-08-01,215.68182373046875
2018-09-01,160.56430053710938
2018-10-01,212.26231384277344
2018-11-01,203.2054443359375
2018-12-01,170.7834930419922
2019-01-01,187.84840393066406
2019-02-01,149.54971313476562
2019-03-01,189.08287048339844
2019-04-01,194.2069549560547
2019-05-01,164.28924560546875
2019-06-01,191.19415283203125
2019-07-01,184.3179931640625
2019-08-01,174.95297241210938
2019-09-01,165.40846252441406
2019-10-01,215.8513946533203
2019-11-01,137.001953125
2019-12-01,237.1326141357422
2020-01-01,180.50169372558594
2020-02-01,128.00001525878906
2020-03-01,249.9366455078125
2020-04-01,192.04226684570312
2020-05-01,183.58993530273438
2020-06-01,214.9594268798828
2020-07-01,214.29258728027344
2020-08-01,155.8049774169922
2020-09-01,144.64752197265625
2020-10-01,168.71694946289062
2020-11-01,184.4030303955078
2020-12-01,176.46505737304688
2021-01-01,181.27923583984375
2021-02-01,143.6831817626953
2021-03-01,204.63839721679688
2021-04-01,190.47186279296875
2021-05-01,142.03236389160156
2021-06-01,162.65289306640625
2021-07-01,182.3468475341797
2021-08-01,198.46954345703125
2021-09-01,192.05126953125
2021-10-01,158.05142211914062
2021-11-01,185.35122680664062
2021-12-01,225.26853942871094
2022-01-01,205.9340057373047
2022-02-01,105.57093811035156
2022-03-01,172.5366973876953
2022-04-01,183.31857299804688
2022-05-01,130.21669006347656
2022-06-01,165.9131622314453
2022-07-01,144.9859161376953
2022-08-01,160.37289428710938
2022-09-01,176.7401123046875
2022-10-01,157.68698120117188
2022-11-01,167.8047332763672
2022-12-01,161.492919921875
2023-01-01,174.13827514648438
2023-02-01,151.59646606445312
2023-03-01,169.94662475585938
2023-04-01,184.56039428710938
2023-05-01,201.81790161132812
2023-06-01,157.82130432128906
2023-07-01,167.0020751953125
2023-08-01,142.4778289794922
2023-09-01,151.86253356933594
2023-10-01,165.5806427001953
2023-11-01,187.36419677734375
2023-12-01,161.5347900390625
2024-01-01,186.0936737060547
2024-02-01,179.01478576660156
2024-03-01,119.42729949951172
2024-04-01,163.82106018066406
2024-05-01,163.577392578125
2024-06-01,127.74101257324219
2024-07-01,164.03416442871094
2024-08-01,170.19229125976562
2024-09-01,148.24815368652344
2024-10-01,180.9602813720703
2024-11-01,138.68263244628906
2024-12-01,150.54559326171875
2025-01-01,127.78959655761719
2025-02-01,124.79926300048828
2025-03-01,160.14169311523438
2025-04-01,144.70053100585938
